class,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Aves,152640,148058,170186,248897,274041,153043,136905,123953,88349,72093,73683,80448
Magnoliopsida,95968,111175,220148,468697,585117,490539,487004,386745,223009,127543,70616,50272
Insecta,38313,45482,86059,166093,250114,358894,434059,348921,171479,83115,44932,22285
Liliopsida,15631,18987,36215,78133,103612,78859,63525,49731,32582,17585,11045,8679
Mammalia,14112,13924,19531,28140,29794,24336,23352,20124,14611,10533,8671,6936
Agaricomycetes,11680,7208,7700,10390,14575,13355,16332,20163,17095,15542,9324,6019
Reptilia,6438,8868,18964,32823,41542,30866,22635,20792,15183,9032,5444,3269
Polypodiopsida,6287,6707,8691,16276,24783,17826,17481,14023,8099,5390,3488,3127
Pinopsida,6238,5562,7257,9998,11280,8325,8488,8262,5615,4406,3268,2503
Gastropoda,5868,5521,7508,10771,14275,12005,10908,9649,5950,4143,3093,3462
Amphibia,5664,7101,12749,16545,19873,17443,17161,18108,10128,4819,3032,2399
Actinopterygii,4869,5561,6115,6665,8104,8729,9471,7994,4962,3225,2753,2429
Arachnida,4352,4696,7714,13954,19857,20171,19324,22669,15238,7918,4607,2628
Lecanoromycetes,4028,3805,4234,5241,5021,3315,3446,3222,2059,1862,1709,1890
Bryopsida,2527,2983,3715,4083,4075,2176,2367,2454,1584,1353,1359,1449
Malacostraca,1920,2226,3669,5480,6157,5662,6156,4861,2787,1813,1256,1080
Bivalvia,1893,1699,2075,2580,2633,2445,2757,2844,1620,1034,731,1501
Anthozoa,796,848,876,1164,1245,1247,1325,1170,660,392,495,501
Asteroidea,673,578,615,921,1059,1205,1079,839,477,296,333,465
Lycopodiopsida,598,455,754,1056,1338,847,1159,1116,680,491,335,279
Sordariomycetes,556,337,443,472,507,426,624,678,350,430,409,249
Phaeophyceae,531,573,740,816,1054,1375,1275,1158,718,416,290,384
Tremellomycetes,468,220,227,177,221,144,138,110,67,116,114,220
Polyplacophora,355,328,338,298,411,397,350,249,161,127,191,253
Elasmobranchii,348,257,263,295,253,345,509,394,320,267,236,254
Echinoidea,346,345,404,397,492,473,477,425,236,123,132,177
Leotiomycetes,338,190,249,368,485,451,765,1043,871,899,473,182
Jungermanniopsida,292,335,401,544,492,249,241,299,203,153,162,175
Marchantiopsida,283,247,354,428,473,290,386,455,253,168,124,112
Diplopoda,253,257,693,1131,1474,1122,829,1035,653,391,224,112
Maxillopoda,245,259,346,331,379,441,452,356,200,114,102,134
Pezizomycetes,243,310,594,1249,1400,399,245,204,199,245,202,145
Pucciniomycetes,235,201,422,1116,1302,819,362,281,233,174,88,107
Myxomycetes,222,123,189,267,384,654,685,469,323,327,168,97
Collembola,222,288,345,250,256,183,166,147,63,69,113,141
Candelariomycetes,203,184,148,312,98,50,46,37,39,28,32,31
Dacrymycetes,201,97,145,142,144,160,268,389,189,308,203,123
Chilopoda,194,217,410,720,702,534,567,549,432,295,154,155
Dothideomycetes,190,133,284,476,369,138,128,138,145,141,84,79
Hydrozoa,169,134,220,247,210,198,191,125,131,84,110,94
Cephalopoda,165,151,136,168,161,155,229,219,84,68,87,91
Florideophyceae,160,209,227,271,387,552,371,374,140,92,86,132
Ascidiacea,155,93,110,146,209,189,210,191,137,66,65,74
Scyphozoa,138,131,130,199,403,448,712,732,273,196,141,114
Arthoniomycetes,138,237,138,120,104,68,37,41,72,30,35,45
Polychaeta,125,117,123,138,188,152,162,165,97,56,49,75
Ulvophyceae,119,131,137,173,206,198,201,208,126,67,40,57
Holothuroidea,88,83,109,160,237,133,128,98,139,49,32,48
Cyanobacteriia,71,63,113,100,143,80,82,81,94,79,39,31
Demospongiae,70,68,56,71,95,135,128,105,110,36,33,29
Ophiuroidea,64,55,41,44,89,98,118,72,42,11,27,18
Gnetopsida,41,68,71,89,122,70,90,94,47,24,31,23
Merostomata,41,123,33,80,210,235,185,174,82,67,68,49
Sphagnopsida,37,47,88,69,92,72,121,113,68,80,48,25
Cycadopsida,37,42,26,47,48,32,28,28,35,23,26,32
Eurotiomycetes,34,26,43,33,26,20,17,17,11,16,14,17
Gymnolaemata,25,21,28,18,41,44,58,60,54,23,27,29
Alphaproteobacteria,20,16,31,28,15,13,14,11,10,13,8,6
Clitellata,20,35,76,213,113,58,61,38,17,12,6,5
Protosteliomycetes,18,12,19,29,50,93,116,74,35,16,18,14
Thaliacea,16,11,7,12,41,58,53,29,4,5,2,33
Taphrinomycetes,16,12,17,59,168,107,53,27,17,15,24,4
Atractiellomycetes,15,12,11,2,9,3,19,14,4,29,22,9
Ellioviricetes,15,10,13,36,17,8,7,12,4,1,5,5
Zygnematophyceae,13,5,24,29,29,47,61,24,17,3,6,5
Bacillariophyceae,11,36,20,38,13,9,11,13,8,7,8,1
Laboulbeniomycetes,9,14,21,42,50,38,29,39,28,18,9,3
Coniocybomycetes,8,14,13,25,16,7,5,6,1,7,2,17
Charophyceae,7,1,4,14,13,47,48,36,17,3,3,2
Crinoidea,7,4,9,7,16,9,9,3,10,2,7,5
Tentaculata,7,14,10,27,11,11,13,7,9,7,2,10
Branchiopoda,6,11,33,29,23,29,65,18,8,5,5,1
Gammaproteobacteria,5,5,9,10,10,6,12,27,7,5,1,1
Alsuviricetes,4,2,1,8,11,9,8,19,17,3,5,9
Orbiliomycetes,4,2,5,2,3,5,12,7,4,10,8,6
Eurotatoria,4,13,6,11,19,8,32,5,7,7,5,1
Ginkgoopsida,3,3,3,39,62,39,33,26,23,18,12,5
Ustilaginomycetes,3,1,1,13,40,14,29,75,23,10,6,4
Oligohymenophorea,3,6,5,11,8,11,6,5,6,5,4,4
Revtraviricetes,3,10,9,14,10,4,4,9,4,3,3,1
Bacilli,2,2,7,6,11,12,21,13,8,2,5,1
Holocephali,2,5,3,6,8,5,9,11,1,2,2,1
Hoplonemertea,1,7,6,3,4,3,4,2,1,4,1,3
Exobasidiomycetes,1,3,8,21,26,46,54,45,10,9,3,2
Peronosporea,1,4,4,14,48,44,25,30,14,16,4,2
