Date,time,iNaturalist,bird collision,bird strike
10-Jan,1,0,5,39
10-Feb,2,0,0,31
10-Mar,3,0,9,14
10-Apr,4,0,5,34
10-May,5,0,5,5
10-Jun,6,0,0,26
10-Jul,7,0,0,18
10-Aug,8,0,0,13
10-Sep,9,0,4,17
10-Oct,10,0,0,8
10-Nov,11,0,0,8
10-Dec,12,0,0,44
11-Jan,13,0,0,16
11-Feb,14,0,0,20
11-Mar,15,3,6,24
11-Apr,16,3,0,22
11-May,17,0,6,9
11-Jun,18,0,3,16
11-Jul,19,0,6,15
11-Aug,20,0,0,20
11-Sep,21,3,6,14
11-Oct,22,0,3,19
11-Nov,23,0,6,11
11-Dec,24,8,5,8
12-Jan,25,2,0,24
12-Feb,26,0,3,23
12-Mar,27,5,2,15
12-Apr,28,0,8,98
12-May,29,7,5,43
12-Jun,30,3,3,20
12-Jul,31,2,0,41
12-Aug,32,2,7,49
12-Sep,33,5,0,33
12-Oct,34,2,0,21
12-Nov,35,0,0,15
12-Dec,36,4,0,13
13-Jan,37,4,0,26
13-Feb,38,2,4,19
13-Mar,39,2,0,16
13-Apr,40,8,0,22
13-May,41,6,2,14
13-Jun,42,4,9,17
13-Jul,43,6,6,14
13-Aug,44,2,4,26
13-Sep,45,6,0,20
13-Oct,46,16,0,17
13-Nov,47,4,4,14
13-Dec,48,2,2,18
14-Jan,49,7,0,20
14-Feb,50,4,6,30
14-Mar,51,7,5,33
14-Apr,52,21,4,31
14-May,53,14,4,22
14-Jun,54,5,0,23
14-Jul,55,7,2,40
14-Aug,56,2,2,35
14-Sep,57,0,0,19
14-Oct,58,16,2,18
14-Nov,59,9,4,25
14-Dec,60,4,2,25
15-Jan,61,10,2,6
15-Feb,62,11,2,24
15-Mar,63,10,0,20
15-Apr,64,8,2,23
15-May,65,19,6,19
15-Jun,66,4,2,20
15-Jul,67,2,2,22
15-Aug,68,2,0,17
15-Sep,69,8,4,21
15-Oct,70,26,2,32
15-Nov,71,8,2,10
15-Dec,72,6,2,22
16-Jan,73,8,3,26
16-Feb,74,10,0,14
16-Mar,75,14,2,16
16-Apr,76,26,7,36
16-May,77,13,2,24
16-Jun,78,21,0,22
16-Jul,79,10,7,7
16-Aug,80,18,4,25
16-Sep,81,12,3,23
16-Oct,82,19,3,14
16-Nov,83,11,3,14
16-Dec,84,3,3,26
17-Jan,85,19,3,27
17-Feb,86,14,2,19
17-Mar,87,21,3,19
17-Apr,88,34,0,18
17-May,89,14,5,18
17-Jun,90,23,5,11
17-Jul,91,18,2,15
17-Aug,92,20,3,21
17-Sep,93,33,2,20
17-Oct,94,26,3,57
17-Nov,95,22,7,28
17-Dec,96,26,6,18
18-Jan,97,24,6,20
18-Feb,98,31,2,11
18-Mar,99,37,1,13
18-Apr,100,45,9,48
18-May,101,61,6,12
18-Jun,102,40,5,12
18-Jul,103,47,8,27
18-Aug,104,58,7,22
18-Sep,105,39,7,18
18-Oct,106,44,3,19
18-Nov,107,21,7,16
18-Dec,108,28,3,27
19-Jan,109,35,4,17
19-Feb,110,30,2,12
19-Mar,111,48,0,14
19-Apr,112,78,0,27
19-May,113,57,1,42
19-Jun,114,61,0,21
19-Jul,115,47,1,18
19-Aug,116,50,1,26
19-Sep,117,56,7,12
19-Oct,118,64,7,21
19-Nov,119,31,4,12
19-Dec,120,31,3,20
20-Jan,121,37,1,18
20-Feb,122,29,3,21
20-Mar,123,62,4,6
20-Apr,124,100,8,10
20-May,125,85,5,14
20-Jun,126,77,6,17
20-Jul,127,88,3,20
20-Aug,128,65,2,11
20-Sep,129,92,6,27
20-Oct,130,49,3,14
20-Nov,131,38,5,5
20-Dec,132,36,4,14
21-Jan,133,32,3,20
21-Feb,134,45,5,21
21-Mar,135,47,1,19
21-Apr,136,72,1,27
21-May,137,72,1,14
21-Jun,138,66,6,19
21-Jul,139,62,3,17
21-Aug,140,73,1,10
21-Sep,141,72,3,25
