,iso2,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,iso3
0,US,184352,198449,350937,632875,712143,576913,580888,502873,338155,206219,123428,96527,USA
1,AU,28830,24758,29270,35603,29276,22984,23315,31713,32332,21617,18989,17127,AUS
2,CA,20730,23743,37016,74554,135500,161479,179951,129189,68788,29600,14831,11384,CAN
3,ZA,17599,12438,14451,27430,27155,13689,14705,18067,18232,10250,8933,11226,ZAF
4,RU,17370,16119,19690,50740,121734,141770,135729,101308,26373,16799,9251,6618,RUS
5,NZ,16849,14423,11486,17429,15341,8041,9085,9670,7456,6249,6507,7862,NZL
6,MX,16761,19088,21388,26419,25852,16355,19933,18768,12415,9853,9379,8784,MEX
7,GB,7147,9390,20070,51160,54067,58657,57668,45890,19560,8491,6162,3691,GBR
8,DE,6591,8386,13398,26353,42991,39148,37586,26270,14163,8342,4999,3470,DEU
9,AR,5573,4655,4766,5507,5416,2210,2916,2847,3578,1981,2283,2549,ARG
10,TW,4521,5889,8267,15387,13680,5495,6272,6330,3113,3424,2571,2916,TWN
11,IT,3642,6048,8825,14192,22061,19259,16862,14803,7438,4273,2819,1565,ITA
12,BR,3617,3329,3657,4266,4178,2878,2723,2743,2879,2187,2365,2091,BRA
13,EC,3362,2778,2896,2867,3074,2661,2472,2011,1714,853,1771,1568,ECU
14,UA,3154,1619,3329,9562,14501,14861,13633,10966,4238,2789,2240,2315,UKR
15,ES,2953,4593,6162,9493,15760,10155,8931,9551,3576,2292,2858,1579,ESP
16,FR,2640,5824,8430,13295,20052,17682,22887,18391,6400,3182,2271,1706,FRA
17,CR,2602,1399,1267,862,830,982,1077,907,409,461,531,661,CRI
18,CO,2473,2283,2837,2993,3409,2468,2555,2005,1389,1929,1510,1277,COL
19,IN,2032,1904,2049,2165,2516,2003,3251,3512,3722,2579,2079,1561,IND
20,PT,1852,3467,5109,6514,9129,6216,5916,6359,2673,2249,1857,1417,PRT
21,JP,1491,1519,2279,2790,3808,2396,2225,1756,945,1047,1116,757,JPN
22,SG,1488,1503,1840,1881,2272,2295,3548,3364,1618,1277,934,1027,SGP
23,CL,1249,1383,719,686,726,759,1171,1248,764,653,721,599,CHL
24,AT,1241,1957,4127,11202,16731,13155,13806,9854,4350,2631,1018,448,AUT
25,GR,1211,1764,2866,3707,3392,2723,4131,3200,773,718,530,812,GRC
26,NL,1196,1078,2312,4630,6674,7201,7149,5887,3045,1882,1068,1142,NLD
27,DK,1056,1528,4569,11675,18622,16307,18716,16469,6079,2243,814,508,DNK
28,HK,1035,1014,2462,5287,5275,3134,2793,2278,1878,2033,4929,934,HKG
29,PA,998,890,850,3541,1758,1463,1074,739,409,422,319,304,PAN
30,BE,971,1051,2743,5334,5927,5050,4425,3456,1747,1112,1003,612,BEL
31,CZ,969,1236,2728,11432,15055,9988,11612,9034,3740,1779,1030,528,CZE
32,IL,884,1462,1955,1832,1572,1197,801,385,199,352,444,581,ISR
33,FI,853,683,1529,4521,12246,14110,14338,10038,4106,1488,780,530,FIN
34,KR,837,886,1132,1491,2698,2376,2225,1382,937,751,608,579,KOR
35,PE,802,512,698,656,922,348,398,547,632,312,139,264,PER
36,ID,760,655,589,389,474,507,761,604,529,400,645,143,IDN
37,CH,749,1330,1714,4260,7379,6129,7072,4520,2044,1563,1378,946,CHE
38,TH,727,763,551,278,437,525,615,515,259,153,216,339,THA
39,HN,677,1002,1288,1301,1528,1186,1225,826,515,653,277,408,HND
40,LT,640,992,1645,3501,7292,8448,6840,5664,2101,1174,955,529,LTU
41,UY,637,602,514,474,283,159,282,255,178,299,228,196,URY
42,PR,526,546,1160,2444,1167,631,1056,622,578,164,1072,182,PRI
43,MY,497,387,761,799,1185,380,487,341,190,183,164,248,MYS
44,BW,475,337,454,378,511,128,181,185,140,103,169,288,BWA
45,VE,431,243,311,301,319,190,209,177,122,250,184,263,VEN
46,KW,420,462,582,325,105,34,61,31,28,172,121,135,KWT
47,CN,372,293,586,802,1036,742,780,795,582,372,231,159,CHN
48,SE,352,414,883,3083,5005,6479,8327,6531,2600,1004,512,181,SWE
49,PH,351,178,158,562,228,125,67,96,65,82,170,49,PHL
50,MG,350,205,344,29,74,84,64,74,103,783,137,465,MDG
51,CU,332,297,152,82,172,293,181,93,95,45,15,10,CUB
52,NO,330,235,431,877,1835,2347,3495,2433,882,308,145,135,NOR
53,SZ,323,129,163,98,41,22,35,20,24,20,45,71,SWZ
54,MW,267,97,36,99,79,58,55,150,9,46,156,286,MWI
55,LU,265,858,1914,3976,5852,5248,3759,2688,1095,268,276,156,LUX
56,LK,243,318,245,265,392,313,246,236,105,99,234,135,LKA
57,NC,232,120,26,19,148,185,84,125,60,184,345,120,NCL
58,BO,231,372,397,1149,450,137,228,374,94,194,167,186,BOL
59,ZW,230,287,209,221,93,79,45,106,74,154,57,60,ZWE
60,DO,228,105,150,351,493,267,186,113,84,120,78,71,DOM
61,BZ,225,129,76,22,51,113,89,108,60,26,15,12,BLZ
62,PL,219,423,1101,2286,4016,4660,3191,3180,1143,586,146,114,POL
63,SV,217,195,184,550,348,202,153,309,164,271,91,153,SLV
64,VI,198,491,228,49,64,80,151,130,14,16,35,21,VIR
65,IM,193,132,173,85,267,125,111,87,16,39,1,1,IMN
66,KZ,193,152,236,342,649,350,227,405,101,38,71,32,KAZ
